City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.010000000000048,80,5,1.79,NZ,1717124271
1,gerash,27.6697,54.1359,24.180000000000007,16,1,0.37,IR,1717124272
2,puerto penasco,31.3172,-113.538,26.060000000000002,73,0,0.45,MX,1717124273
3,ushuaia,-54.8108,-68.3159,1.1400000000000432,69,0,4.12,AR,1717124274
4,tankara,22.6562,70.7495,31.460000000000036,55,39,6.8,IN,1717124287
5,ovalle,-30.6011,-71.199,17.450000000000045,48,100,0.76,CL,1717124288
6,badger,64.8,-147.5333,16.950000000000045,52,75,4.12,US,1717124289
7,jinzhou,39.1,121.7167,22.120000000000005,51,62,8.33,CN,1717124290
8,al kharijah,25.4514,30.5464,25.05000000000001,26,1,3.97,EG,1717124291
9,adamstown,-25.066,-130.1015,21.200000000000045,73,93,9.75,PN,1717124304
10,quechultenango,17.4143,-99.2422,22.760000000000048,70,57,1.28,MX,1717124305
11,susuman,62.7808,148.154,10.57000000000005,25,39,3.13,RU,1717124306
